18DA1D2A,8
18DA1CCE,18
18DA1CEE,21
18DA1E2A,10
18DA1DCE,28
18DA1DEE,35
18DA1F26,180
18DA1F2A,15
18DA1ECE,38
18DA1EEE,48
18DA2026,60
18DA202A,30
18DA20CE,18
18DA20EE,22
18DA254E,32
18DA26AA,4
18DA264E,20
18DA266E,25
18DA28A6,35
18DA28AA,4
18DA284E,18
18DA286E,16
18DA2A8A,11
18DA2A2E,20
18DA2A4E,18
18DA2D0E,16
18DA2F46,300
18DA2F4A,10
18DA2EEE,30
18DA2F0E,18
18DA3046,68
18DA304A,13
18DA3146,96
18DA314A,6
18DA30EE,18
18DA324A,6
18DA31EE,33
18DA320E,40
18DA3446,40
18DA33EE,15
18DA340E,24
18DA372A,11
18DA36CE,15
18DA3AE6,360
18DA3AEA,9
18DA3A8E,57
18DA3AAE,65
18DA3BE6,18
18DA3B8E,14
18DA3BAE,14
18DA3CE6,160
18DA3C8E,48
18DA3CAE,30
18DA3DE6,280
18DA3DEA,10
18DA3D8E,32
18DA3DAE,40
18DA41CA,11
18DA416E,28
18DA418E,36
18DA42CA,9
18DA426E,35
18DA43CA,7
18DA436E,22
18DA45C6,50
18DA45CA,11
18DA456E,16
18DA47CA,9
18DA476E,20
18DA486E,22
18DA488E,27
18DA49CA,2
18DA4ACA,4
18DA4A8E,18
18DA4BC6,180
18DA4B6E,35
18DA4FA6,35
18DA4FAA,3
18DA4F4E,20
18DA4F6E,28
18DA50A6,24
18DA50AA,8
18DA504E,18
18DA514E,35
18DA516E,26
18DA52AA,14
18DA54A6,32
18DA546E,20
18DA55AA,14
18DA5886,12
18DA588A,12
18DA582E,24
18DA592E,10
18DA5A86,240
18DA5A8A,7
18DA5A2E,35
18DA5A4E,42
18DA5B86,42
18DA5B8A,3
18DA5B2E,10
18DA5C86,32
18DA5C2E,20
18DA5E86,64
18DA5E8A,6
18DA5E2E,24
18DA602E,17
18DA6186,50
18DA618A,8
18DA612E,15
18DA6386,100
18DA638A,11
18DA632E,35
18DA648A,10
18DA642E,28
18DA6586,250
18DA658A,10
18DA652E,35
18DA662E,22
18DA6786,73
18DA672E,40
18DA6886,110
18DA688A,10
18DA682E,22
18DA698A,12
18DA6C86,75
18DA6C3E,28
18DA6D8A,15
18DA6E86,60
18DA6E8A,6
18DA6E2E,7
18DA6F86,160
18DA6F8A,5
18DA6F2E,36
18DA712E,16
18DA722E,7
18DA7586,320
18DA758A,13
18DA762E,22
18DA7886,190
18DA788A,11
18DA7A2E,8
18DA7C86,75
18DA7C8A,10
18DA7D2E,22
18DA7E8A,4
18DA7E2E,19
18DA8086,160
18DA808A,10
18DA802E,37
18DA804E,42
18DA81B0,19305
18DA81B2,28263
18DA81B4,8269
18DA81B6,24942
18DA81B8,25714
18DA81BA,24935
18DA81BC,28530
18DA81BE,24832
18DA812E,55
18DA8286,32
18DA828A,6
18DA822E,20
18DA824E,25
18DA8386,50
18DA838A,10
18DA832E,18
18DA858A,8
18DA8786,42
18DA872E,30
18DA874E,32
18DA8886,60
18DA882E,17
18DA884E,21
18DA892E,15
18DA8A86,180
18DA8A8A,13
18DA8A2E,30
18DA8A4E,38
18DA8B86,150
18DA8B8A,12
18DA8B2E,25
18DA8B4E,35
18DA8E4E,20
