18E044CB,8
18E0446F,18
18E0448F,21
18E045D1,4
18E045C3,2
18E0456F,32
18E046D1,10
18E0466F,70
18E047D1,4
18E047C7,60
18E047CB,15
18E048D1,2
18E0486F,18
18E04CEF,32
18E04E51,3
18E04E43,2
18E04DEF,24
18E05051,1
18E05047,35
18E0504B,6
18E04FEF,15
18E0500F,17
18E05231,7
18E052CF,52
18E05511,1
18E054AF,16
18E0578F,20
18E0588F,15
18E0598F,60
18E05AE0,4
18E05AE3,2
18E05A8F,17
18E05BF1,3
18E05B8F,31
18E05ED1,14
18E06191,5
18E0622F,60
18E0632F,14
18E0652F,24
18E06691,4
18E0662F,12
18E06860,3
18E06863,2
18E0680F,18
18E06D71,2
18E06D0F,20
18E06F6B,9
18E06F0F,20
18E07071,5
18E07067,50
18E0700F,21
18E0726B,0
18E0722F,18
18E0730F,84
18E0750F,42
18E07751,6
18E07740,5
18E07743,2
18E076EF,40
18E07851,5
18E0784B,13
18E078EF,35
18E07A4B,16
18E079EF,54
18E07D4B,2
18E07F31,10
18E07FCF,24
18E08123,4
18E080CF,14
18E0822B,13
18E081CF,50
18E081EF,54
18E08331,6
18E0832B,3
18E08431,3
18E08620,4
18E08623,2
18E086CF,35
18E08831,3
18E08820,4
18E08823,3
18E087CF,25
18E088CF,36
18E08A20,4
18E08A23,2
18E08B31,4
18E08ACF,30
18E08C23,3
18E08BCF,36
18E08CCF,95
18E08E27,50
18E08E2B,0
18E08ECF,52
18E09023,3
18E09127,48
18E0912B,12
18E09431,6
18E09427,75
18E0942B,12
18E093CF,28
18E09627,60
18E0962B,6
18E095CF,7
18E09731,7
18E096CF,65
18E09931,2
18E098CF,12
18E09A31,5
18E09A27,20
18E099CF,25
18E09ACF,25
18E09C27,240
18E09C2B,12
18E09DCF,15
18E09F31,9
18E0A031,10
18E0A023,2
18E09FCF,55
18E0A431,7
18E0A42B,8
18E0A3CF,16
18E0A531,8
18E0A527,50
18E0A4CF,20
18E0A631,4
18E0A627,50
18E0A5CF,22
18E0A950,75
18E0A951,105
18E0A952,110
18E0A953,103
18E0A954,32
18E0A955,77
18E0A956,97
18E0A957,110
18E0A958,100
18E0A959,114
18E0A95A,97
18E0A95B,103
18E0A95C,111
18E0A95D,114
18E0A95E,97
18E0A8CF,55
18E0AB27,50
18E0AB2B,10
18E0AD27,120
18E0AD2B,10
18E0AE27,60
18E0AECF,40
18E0B031,5
18E0B027,60
18E0B231,10
18E0B227,240
18E0B22B,12
18E0B1CF,25
18E0B1EF,35
18E0B331,6
18E0B431,9
18E0B427,180
18E0B42B,20
18E0B526,0
18E0B527,120
18E0B52B,15
18E0B723,3
18E0B831,12
